check_ins_id,source_ordinal,raw_trajectory_id,SplitTag,OriginalSplitTag
7382,7382,1_4,ignore,train
7566,7571,1_4,train,train
7916,7917,1_4,train,train
8221,8221,1_4,train,train
8309,8309,1_4,train,train
12799,12800,1_5,ignore,train
13021,13021,1_5,train,train
13235,13238,1_5,train,train
14313,14313,1_5,train,train
14939,14943,1_5,train,train
15045,15046,1_5,train,train
15765,15767,1_5,train,train
53992,53992,1_14,ignore,train
54007,54007,1_14,train,train
54153,54153,1_14,train,train
54810,54810,1_14,train,train
61226,61226,1_18,ignore,train
61827,61827,1_18,train,train
61955,61955,1_18,train,train
24896,24902,2_9,ignore,train
25189,25191,2_9,train,train
25444,25444,2_9,train,train
25503,25503,2_9,train,train
26308,26317,2_9,train,train
30639,30639,2_10,ignore,train
30766,30767,2_10,train,train
31052,31053,2_10,train,train
31831,31831,2_10,train,train
32709,32709,2_10,train,train
37661,37663,2_13,ignore,train
38733,38743,2_13,train,train
38860,38869,2_13,train,train
38947,38953,2_13,train,train
47001,47001,2_15,ignore,train
47044,47044,2_15,train,train
47046,47046,2_15,train,train
47137,47137,2_15,train,train
51501,51501,2_17,ignore,train
52301,52301,2_17,train,train
52957,52961,2_17,train,train
55524,55524,2_19,ignore,train
55793,55793,2_19,train,train
56509,56509,2_19,train,train
60152,60152,2_22,ignore,train
60191,60191,2_22,train,train
60300,60300,2_22,train,train
60325,60325,2_22,train,train
60911,60912,2_22,train,train
61013,61013,2_22,train,train
62164,62167,2_23,ignore,train
62338,62338,2_23,train,train
62426,62426,2_23,train,train
63030,63030,2_23,train,train
63111,63111,2_23,train,train
63126,63126,2_23,train,train
84645,84645,2_27,ignore,validation
84757,84757,2_27,ignore,validation
84760,84760,2_27,ignore,validation
84965,84965,2_27,validation,validation
95339,95339,2_28,ignore,test
95360,95360,2_28,ignore,test
95514,95514,2_28,test,test
96370,96370,2_29,ignore,test
96389,96389,2_29,ignore,test
96424,96424,2_29,ignore,test
96626,96626,2_29,ignore,test
96877,96877,2_29,ignore,test
96918,96918,2_29,ignore,test
96922,96922,2_29,ignore,test
97131,97131,2_29,test,test
103714,103714,2_33,ignore,test
103752,103752,2_33,ignore,test
103763,103763,2_33,test,test
44289,44294,3_17,ignore,train
44447,44449,3_17,train,train
44899,44902,3_17,train,train
45288,45288,3_17,train,train
45391,45391,3_17,train,train
45487,45487,3_17,train,train
11838,11839,4_5,ignore,train
12795,12796,4_5,train,train
13255,13258,4_5,train,train
14856,14862,4_6,ignore,train
15541,15548,4_6,train,train
16023,16024,4_6,train,train
17217,17218,4_7,ignore,train
18355,18355,4_7,train,train
18706,18706,4_7,train,train
50126,50126,4_19,ignore,train
50268,50268,4_19,train,train
50517,50517,4_19,train,train
50723,50727,4_19,train,train
51203,51204,4_19,train,train
51378,51378,4_19,train,train
51569,51570,4_19,train,train
54798,54798,4_21,ignore,train
54958,54958,4_21,train,train
55579,55579,4_21,train,train
55838,55838,4_21,train,train
56450,56450,4_21,train,train
59361,59361,4_23,ignore,train
59426,59429,4_23,train,train
59696,59696,4_23,train,train
61000,61000,4_24,ignore,train
61420,61421,4_24,train,train
61691,61691,4_24,train,train
61891,61891,4_24,train,train
61930,61930,4_24,train,train
62309,62311,4_24,train,train
