check_ins_id,source_ordinal,raw_trajectory_id,SplitTag,OriginalSplitTag
4700,6809,0,ignore,train
4739,6863,0,train,train
4753,6883,0,train,train
4883,7055,0,train,train
5991,8714,0,train,train
6067,8822,0,train,train
6297,9168,0,train,train
6577,9567,0,train,train
6640,9666,0,train,train
6797,9905,0,train,train
6917,10082,0,train,train
7121,10406,0,train,train
7143,10435,0,train,train
66747,92958,1,ignore,train
66755,92968,1,train,train
66757,92970,1,train,train
66763,92977,1,train,train
100911,138531,2,ignore,train
101284,139016,2,train,train
102182,140406,2,train,train
102265,140525,2,train,train
102300,140572,2,train,train
102368,140674,2,train,train
102385,140701,2,train,train
102587,141021,2,train,train
102787,141296,2,train,train
102861,141398,2,train,train
103603,142447,2,train,train
103620,142472,2,train,train
104300,143488,2,train,train
104313,143504,2,train,train
104317,143509,2,train,train
104321,143514,2,train,train
186319,256341,3,ignore,train
186344,256378,3,train,train
186407,256465,3,train,train
186504,256601,3,train,train
186719,256903,3,train,train
186757,256948,3,train,train
186813,257029,3,train,train
186861,257095,3,train,train
187126,257449,3,train,train
187139,257473,3,train,train
187262,257650,3,train,train
187291,257687,3,train,train
188081,258784,3,train,train
188597,259467,3,train,train
188653,259555,3,train,train
188704,259639,3,train,train
188733,259688,3,train,train
189492,260834,3,train,train
189520,260878,3,train,train
222356,307797,4,ignore,train
223017,308663,4,train,train
223182,308931,4,train,train
223268,309052,4,train,train
223318,309117,4,train,train
224147,310218,4,train,train
224194,310278,4,train,train
224251,310355,4,train,train
224643,310911,4,train,train
264509,369273,5,ignore,train
264716,369566,5,train,train
264753,369622,5,train,train
264803,369701,5,train,train
264830,369737,5,train,train
264983,369965,5,train,train
264989,369975,5,train,train
299158,419216,6,ignore,train
300048,420488,6,train,train
302698,424328,7,ignore,train
302730,424379,7,train,train
302897,424622,7,train,train
321549,451485,8,ignore,train
321554,451491,8,train,train
321562,451502,8,train,train
321659,451632,8,train,train
322114,452376,8,train,train
322141,452423,8,train,train
322186,452509,8,train,train
323465,454355,8,train,train
324676,456162,8,train,train
324701,456194,8,train,train
330321,464349,9,ignore,validation
330363,464403,9,ignore,validation
330415,464470,9,ignore,validation
330419,464476,9,validation,validation
345890,487556,10,ignore,validation
346508,488461,10,validation,validation
348504,491289,11,ignore,validation
348850,491785,11,ignore,validation
349628,492889,11,ignore,validation
351022,494816,11,validation,validation
352163,496527,12,ignore,validation
352563,497153,12,ignore,validation
353083,497907,12,ignore,validation
353119,497961,12,ignore,validation
353125,497967,12,validation,validation
365986,517051,13,ignore,test
365991,517057,13,ignore,test
366272,517474,13,ignore,test
366505,517821,13,ignore,test
367188,518892,13,test,test
477,551,14,ignore,train
1113,1569,14,train,train
2088,2983,14,train,train
3293,4591,14,train,train
11824,16600,15,ignore,train
14176,19766,15,train,train
17433,24119,16,ignore,train
19340,26794,16,train,train
25018,34952,17,ignore,train
26178,36548,17,train,train
27106,37706,17,train,train
27239,37863,17,train,train
28614,39617,18,ignore,train
30928,42849,18,train,train
30949,42881,18,train,train
31744,43814,18,train,train
31877,43963,18,train,train
40778,56412,19,ignore,train
41131,56939,19,train,train
42450,58773,19,train,train
42682,59090,19,train,train
43378,59903,19,train,train
43641,60194,19,train,train
45745,63241,19,train,train
46595,64236,19,train,train
47257,65149,19,train,train
48002,66053,19,train,train
48168,66245,19,train,train
52768,72756,20,ignore,train
54671,75693,20,train,train
67864,94272,21,ignore,train
68168,94805,21,train,train
70691,98309,22,ignore,train
71040,98817,22,train,train
71932,99909,22,train,train
72095,100097,22,train,train
74197,102990,22,train,train
75203,104207,22,train,train
75418,104451,22,train,train
76754,106191,23,ignore,train
79239,109587,23,train,train
86656,119881,24,ignore,train
86815,120057,24,train,train
88518,122393,24,train,train
88993,123038,24,train,train
90178,124423,24,train,train
93441,128572,25,ignore,train
96125,132146,25,train,train
96984,133135,25,train,train
97139,133312,25,train,train
106099,145844,26,ignore,train
106220,145988,26,train,train
107920,148353,26,train,train
108287,148861,26,train,train
109063,149903,27,ignore,train
109174,150045,27,train,train
119219,164246,28,ignore,train
122069,167935,28,train,train
122253,168141,28,train,train
124202,170765,28,train,train
124515,171166,28,train,train
125286,172065,28,train,train
125485,172286,28,train,train
131829,181574,29,ignore,train
132286,182303,29,train,train
133172,183490,29,train,train
133971,184508,29,train,train
134300,184873,29,train,train
136293,187679,29,train,train
139149,191331,30,ignore,train
140400,193119,30,train,train
142428,195765,30,train,train
152283,209232,31,ignore,train
155015,212729,31,train,train
167273,229858,32,ignore,train
167401,230010,32,train,train
167650,230408,32,train,train
170301,234389,33,ignore,train
170405,234502,33,train,train
174181,240245,34,ignore,train
174455,240618,34,train,train
175201,241513,34,train,train
177604,244630,34,train,train
179132,246823,34,train,train
179469,247269,34,train,train
180256,248200,34,train,train
181961,250509,34,train,train
183570,252586,34,train,train
183776,252882,34,train,train
185044,254600,34,train,train
185073,254634,34,train,train
186145,256095,34,train,train
187166,257509,34,train,train
198969,273418,35,ignore,train
199423,274091,35,train,train
209627,288473,36,ignore,train
209793,288713,36,train,train
210356,289535,36,train,train
216800,299473,37,ignore,train
217958,301210,37,train,train
221728,306877,38,ignore,train
222772,308290,38,train,train
236243,323832,39,ignore,train
236323,323935,39,train,train
253683,354372,40,ignore,train
255677,357103,40,train,train
267341,373241,41,ignore,train
267522,373534,41,train,train
283661,396938,42,ignore,train
285614,399657,42,train,train
286631,401197,42,train,train
296226,415122,43,ignore,train
296298,415223,43,train,train
297166,416382,43,train,train
297252,416532,43,train,train
306926,430351,44,ignore,train
307876,431754,44,train,train
323818,454841,45,ignore,train
324835,456393,45,train,train
325501,457317,45,train,train
326675,458945,45,ignore,validation
326990,459484,45,validation,validation
361682,510667,46,ignore,validation
361726,510720,46,ignore,validation
361749,510749,46,ignore,validation
363174,512785,46,ignore,validation
363882,513890,46,ignore,validation
364021,514094,46,validation,validation
140,174,47,ignore,train
191,227,47,train,train
247,287,47,train,train
2880,4111,47,train,train
3010,4254,47,train,train
3989,5607,47,train,train
13836,19390,48,ignore,train
14055,19636,48,train,train
14635,20314,48,train,train
14705,20453,48,train,train
17622,24353,48,train,train
17652,24390,48,train,train
17676,24430,48,train,train
18136,25174,48,train,train
18393,25518,48,train,train
28013,38950,49,ignore,train
28116,39060,49,train,train
28717,39732,49,train,train
28755,39779,49,train,train
32038,44149,50,ignore,train
32451,44844,50,train,train
32461,44858,50,train,train
32510,44933,50,train,train
36445,50421,51,ignore,train
36548,50570,51,train,train
36729,50870,51,train,train
37604,52138,51,train,train
37615,52152,51,train,train
47585,65586,52,ignore,train
47590,65592,52,train,train
47689,65702,52,train,train
47767,65787,52,train,train
65372,90953,53,ignore,train
65475,91094,53,train,train
65631,91315,53,train,train
65972,91807,53,train,train
66078,91966,53,train,train
66105,92000,53,train,train
66164,92077,53,train,train
69428,96589,54,ignore,train
69554,96763,54,train,train
72609,100822,55,ignore,train
72647,100895,55,train,train
74701,103656,55,train,train
74886,103850,55,train,train
75014,103991,55,train,train
77667,107460,56,ignore,train
81486,112746,56,train,train
84655,117277,56,train,train
88171,121933,57,ignore,train
88376,122207,57,train,train
88489,122355,57,train,train
89082,123162,57,train,train
89173,123273,57,train,train
90353,124641,57,train,train
93554,128711,57,train,train
94364,129887,57,train,train
97558,133912,57,train,train
97794,134292,57,train,train
122303,168201,58,ignore,train
122428,168349,58,train,train
152416,209388,59,ignore,train
152447,209422,59,train,train
162723,223630,60,ignore,train
164600,226102,60,train,train
191216,263192,61,ignore,train
191404,263517,61,train,train
191434,263566,61,train,train
191444,263578,61,train,train
191487,263638,61,train,train
199373,274023,62,ignore,train
199550,274285,62,train,train
199755,274556,62,train,train
202367,278179,62,train,train
218821,302526,63,ignore,train
220394,304937,63,train,train
223199,308952,64,ignore,train
223553,309410,64,train,train
235900,323415,65,ignore,train
235902,323417,65,train,train
236597,324372,65,train,train
236874,324850,65,train,train
236878,324855,65,train,train
236938,324931,65,train,train
237758,326114,65,train,train
239696,333025,66,ignore,train
239762,333136,66,train,train
254044,354939,67,ignore,train
254084,355000,67,train,train
254261,355243,67,train,train
267644,373746,68,ignore,train
267834,374033,68,train,train
271203,378925,69,ignore,train
271265,378992,69,train,train
274057,382858,70,ignore,train
274504,383487,70,train,train
285699,399768,71,ignore,train
285709,399780,71,train,train
295463,414109,72,ignore,train
297275,416567,72,train,train
297571,417001,72,train,train
312382,438730,73,ignore,train
312443,438806,73,train,train
313835,440795,73,train,train
314696,441990,73,train,train
314728,442024,73,train,train
318254,446759,74,ignore,train
318266,446775,74,train,train
318424,447048,74,train,train
328630,461834,75,ignore,validation
328863,462125,75,ignore,validation
328903,462178,75,validation,validation
340020,478547,76,ignore,validation
340027,478560,76,ignore,validation
340066,478619,76,validation,validation
353656,498792,77,ignore,validation
354256,499754,77,validation,validation
368325,520541,78,ignore,test
368402,520718,78,test,test
389346,550927,79,ignore,test
390874,553223,79,ignore,test
391281,553878,79,test,test
392185,555192,80,ignore,test
393102,556545,80,test,test
395237,559555,81,ignore,test
395469,559906,81,test,test
403425,571350,82,ignore,test
403720,571706,82,ignore,test
403752,571743,82,ignore,test
404591,573011,82,test,test
16455,22942,83,ignore,train
19122,26495,83,train,train
34289,47337,84,ignore,train
35792,49494,84,train,train
35943,49723,84,train,train
38783,53787,84,train,train
38952,54016,84,train,train
47172,65036,85,ignore,train
50113,69080,85,train,train
51493,71024,86,ignore,train
53301,73616,86,train,train
53581,74029,86,train,train
56816,78675,87,ignore,train
57072,79027,87,train,train
60558,84067,88,ignore,train
62752,87290,88,train,train
62901,87483,88,train,train
65272,90822,88,train,train
65369,90950,88,train,train
77680,107481,89,ignore,train
80692,111632,89,train,train
80834,111847,89,train,train
84582,117162,90,ignore,train
84659,117281,90,train,train
88093,121829,91,ignore,train
91322,125983,91,train,train
95673,131567,92,ignore,train
98368,135055,92,train,train
98717,135542,92,train,train
111870,154079,93,ignore,train
112851,155412,93,train,train
116301,160414,94,ignore,train
116569,160778,94,train,train
136740,188297,95,ignore,train
137908,189816,95,train,train
141169,194216,96,ignore,train
142733,196183,96,train,train
144660,198931,96,train,train
144857,199191,96,train,train
147661,203167,96,train,train
151169,207891,97,ignore,train
153735,211197,97,train,train
162175,222876,98,ignore,train
162351,223109,98,train,train
165963,228082,99,ignore,train
166405,228704,99,train,train
169941,233934,100,ignore,train
172253,237223,100,train,train
182276,250927,101,ignore,train
184950,254460,101,train,train
188942,260006,102,ignore,train
189065,260198,102,train,train
191545,263723,103,ignore,train
191661,263876,103,train,train
198028,272260,104,ignore,train
200440,275463,104,train,train
200656,275774,104,train,train
202466,278332,104,train,train
